src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.164,239.255.255.250,51280,1900,17,2023-07-19 10:54:11,3018733.9782714844,276.93728762369796,1.325058792457885,1.325058792457885,0.0,4,0,836,0,209.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,209,209,209.0,0.0,0.0,32,0,8,4,1006244.6594238281,1012616.8727874756,1001875.1621246338,4608.270877250037,3018733.9782714844,1012616.8727874756,1001875.1621246338,1006244.6594238281,4608.270877250037,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,209.0,0,0,0.0,0.0,0.0,0.0,1001875.1621246338,10741.710662841797,506308.4363937378,495566.725730896,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0,4,0,836,0
192.168.50.164,239.255.255.250,51283,1900,17,2023-07-19 10:54:13,3015997.886657715,287.7986101515161,1.3262608762742676,1.3262608762742676,0.0,4,0,868,0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1005332.6288859049,1010626.7929077148,1000273.2276916504,4230.083794262731,3015997.886657715,1010626.7929077148,1000273.2276916504,1005332.6288859049,4230.083794262731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,1005097.8660583496,10353.565216064453,507725.71563720703,497372.1504211426,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0
192.168.50.164,172.67.201.225,5499,443,6,2023-07-19 10:54:24,322411.06033325195,4578.006717494029,21.711413971855148,9.304891702223635,12.406522269631514,3,4,409,1067,206.0,54.0,136.33333333333334,62.69680126520721,858.0,54.0,266.75,341.89718849385116,858,54,210.85714285714286,269.5299763723236,72646.4081632653,60,80,20,2,53735.17672220866,135835.1707458496,245.80955505371094,47586.646420999685,322411.06033325195,275227.0698547363,47183.990478515625,161205.53016662598,114021.53968811035,222965.00205993652,135835.1707458496,245.80955505371094,74321.66735331218,56062.33600908445,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,210.85714285714286,255,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.33333333333334,266.75,0,3,4,409,1067
192.168.50.164,74.125.68.139,9535,443,6,2023-07-19 10:54:26,46493.0534362793,2602.539326995067,43.01717895859615,21.508589479298074,21.508589479298074,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,258,311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.50.164,142.251.12.104,9480,443,6,2023-07-19 10:54:26,236097.0973968506,512.5010062983268,8.471091013195485,4.2355455065977425,4.2355455065977425,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,258,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.50.164,142.251.10.95,9221,443,6,2023-07-19 10:54:12,14933657.169342041,140.0192850477849,1.4731823390967327,0.6026655023577543,0.8705168367389784,9,13,1060,1031,283.0,54.0,117.77777777777777,89.39646746411029,123.0,54.0,79.3076923076923,24.533758893487704,283,54,95.04545454545455,63.1091963279285,3982.7706611570243,180,260,20,6,711126.5318734305,9823439.836502075,25.033950805664062,2243329.940847786,14888816.118240356,9869704.961776733,178.0986785888672,1861102.0147800446,3353795.911932052,14887392.044067383,9870806.93244934,25.033950805664062,1240616.003672282,2875110.376077605,0,0,0,0,1,0,0,0,0,0,0,1.4444444444444444,95.04545454545455,254,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,4.0,0.0,818.4474335615732,117.77777777777777,79.3076923076923,0,9,13,1060,1031
192.168.50.164,74.125.130.84,9472,443,6,2023-07-19 10:54:13,14050690.88935852,29.180059772756014,0.4270252649671612,0.2135126324835806,0.2135126324835806,3,3,163,247,55.0,54.0,54.333333333333336,0.4714045207910317,127.0,54.0,82.33333333333333,31.961782734314987,127,54,68.33333333333333,26.587382136812355,706.8888888888888,60,60,20,1,2810138.177871704,13583661.079406738,400.0663757324219,5387766.628937517,14050690.88935852,13815896.987915039,234793.90144348145,7025345.44467926,6790551.543235779,13818471.908569336,13583661.079406738,234810.82916259766,6909235.954284668,6674425.12512207,0,0,0,0,1,0,0,0,0,0,0,1.0,68.33333333333333,254,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.333333333333336,82.33333333333333,0,3,3,163,247
192.168.50.164,142.251.10.100,9529,443,6,2023-07-19 10:54:29,49409.86633300781,2448.903609341826,40.4777456089558,20.2388728044779,20.2388728044779,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,257,271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.50.164,142.251.10.100,9530,443,6,2023-07-19 10:54:29,39373.159408569336,3073.1595284087125,50.796025262953926,25.398012631476963,25.398012631476963,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,257,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.50.164,74.125.68.94,9508,443,6,2023-07-19 10:54:30,39412.9753112793,3070.0549513036112,50.744709938902666,25.372354969451333,25.372354969451333,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,256,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
